# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120912,Android 2.2,0,107,0,301,100,0,0,0
20120912,Android 2.1,0,30,0,110,29,0,0,0
20120912,Android 4.1,2,84,0,113,81,0,0,0
20120912,Android 4.0.3 - 4.0.4,4,404,4,701,388,2,2,0
20120912,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120912,Android 3.2,0,19,0,33,14,0,0,0
20120912,Android 3.1,0,5,0,6,4,0,0,0
20120912,Android 3.0,0,0,0,1,0,0,0,0
20120912,Android 2.3.3 - 2.3.7,1,567,1,1298,542,2,2,0
20120912,0,0,0,0,186,0,0,0,0
20120911,Android 2.3,0,2,0,2,2,0,0,0
20120911,Android 2.2,0,107,0,301,100,0,0,0
20120911,Android 2.1,0,30,0,110,29,0,0,0
20120911,Android 4.1,3,83,1,112,80,2,2,0
20120911,Android 4.0.3 - 4.0.4,1,402,1,695,386,1,1,0
20120911,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120911,Android 3.2,0,19,0,34,14,1,1,0
20120911,Android 3.1,0,5,0,6,4,0,0,0
20120911,Android 3.0,0,0,0,1,0,0,0,0
20120911,Android 2.3.3 - 2.3.7,4,567,3,1300,542,4,4,1
20120911,0,0,0,0,185,0,0,0,0
20120910,Android 2.3,0,2,0,2,2,0,0,0
20120910,Android 2.2,1,107,1,301,100,0,0,0
20120910,Android 2.1,0,30,0,110,29,0,0,0
20120910,Android 4.1,2,82,1,110,79,1,1,0
20120910,Android 4.0.3 - 4.0.4,4,402,2,695,386,1,1,0
20120910,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120910,Android 3.2,0,20,0,34,15,0,0,0
20120910,Android 3.1,0,5,0,6,4,0,0,0
20120910,Android 3.0,0,0,0,1,0,0,0,0
20120910,Android 2.3.3 - 2.3.7,1,568,0,1297,543,1,1,0
20120910,0,0,0,0,185,0,0,0,0
20120909,Android 2.3,0,2,0,2,2,0,0,0
20120909,Android 2.2,1,106,1,301,99,1,1,1
20120909,Android 2.1,0,30,0,110,29,0,0,0
20120909,Android 4.1,1,81,0,106,78,0,0,0
20120909,Android 4.0.3 - 4.0.4,6,399,5,692,383,0,0,0
20120909,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120909,Android 3.2,0,21,0,35,16,0,0,0
20120909,Android 3.1,0,5,0,6,4,0,0,0
20120909,Android 3.0,0,0,0,1,0,0,0,0
20120909,Android 2.3.3 - 2.3.7,1,572,1,1301,547,0,0,1
20120909,0,0,0,0,183,0,0,0,0
20120908,Android 2.3,0,2,0,2,2,0,0,0
20120908,Android 2.2,0,106,0,300,99,0,0,0
20120908,Android 2.1,1,30,1,110,29,1,0,0
20120908,Android 4.1,1,81,0,105,78,0,0,0
20120908,Android 4.0.3 - 4.0.4,7,393,4,687,378,1,1,0
20120908,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120908,Android 3.2,0,21,0,35,16,0,0,0
20120908,Android 3.1,0,5,0,6,4,0,0,0
20120908,Android 3.0,0,0,0,1,0,0,0,0
20120908,Android 2.3.3 - 2.3.7,1,572,1,1302,547,1,1,0
20120908,0,0,0,0,182,0,0,0,0
20120907,Android 2.3,0,2,0,2,2,0,0,0
20120907,Android 2.2,1,106,1,301,99,1,1,0
20120907,Android 2.1,0,30,0,109,28,0,0,0
20120907,Android 4.1,1,80,0,105,77,0,0,0
20120907,Android 4.0.3 - 4.0.4,5,389,5,683,374,2,2,0
20120907,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
