# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120330,Android 4.0.3 - 4.0.4,1,57,0,85,55,0,0,0
20120330,Android 4.0 - 4.0.2,0,26,0,39,23,0,0,0
20120330,Android 3.2,0,16,0,23,14,0,0,0
20120330,Android 3.1,0,6,0,11,4,0,0,0
20120330,Android 3.0,0,1,0,2,1,0,0,0
20120330,Android 2.3.3+,3,643,3,1199,628,1,1,1
20120330,0,2,143,1,228,131,1,1,0
20120329,Android 2.3,0,2,0,1,1,0,0,0
20120329,Android 2.2,0,138,0,357,126,0,0,0
20120329,Android 2.1,0,44,0,110,44,0,0,0
20120329,Android 4.0.3 - 4.0.4,2,51,0,77,48,0,0,0
20120329,Android 4.0 - 4.0.2,0,26,0,39,23,0,0,0
20120329,Android 3.2,0,16,0,23,14,0,0,0
20120329,Android 3.1,0,6,0,11,4,0,0,0
20120329,Android 3.0,0,1,0,2,1,0,0,0
20120329,Android 2.3.3+,1,647,1,1204,632,3,3,1
20120329,0,3,142,1,226,130,1,1,0
20120328,Android 2.3,0,2,0,1,1,0,0,0
20120328,Android 2.2,0,138,0,358,126,1,1,0
20120328,Android 2.1,0,44,0,110,44,0,0,0
20120328,Android 4.0.3 - 4.0.4,1,47,1,72,45,0,0,0
20120328,Android 4.0 - 4.0.2,0,26,0,39,23,0,0,0
20120328,Android 3.2,0,16,0,23,14,0,0,0
20120328,Android 3.1,0,6,0,11,4,0,0,0
20120328,Android 3.0,0,1,0,2,1,0,0,0
20120328,Android 2.3.3+,2,654,1,1210,638,1,1,1
20120328,0,1,139,1,222,128,1,1,0
20120327,Android 2.3,0,2,0,1,1,0,0,0
20120327,Android 2.2,0,139,0,358,127,2,2,0
20120327,Android 2.1,0,44,0,110,44,1,1,0
20120327,Android 4.0.3 - 4.0.4,0,46,0,71,44,0,0,0
20120327,Android 4.0 - 4.0.2,1,26,0,39,23,0,0,0
20120327,Android 3.2,0,16,0,23,14,0,0,0
20120327,Android 3.1,0,6,0,11,4,0,0,0
20120327,Android 3.0,0,1,0,2,1,0,0,0
20120327,Android 2.3.3+,3,653,1,1210,637,1,1,1
20120327,0,2,140,1,220,129,0,0,0
20120326,Android 2.3,0,2,0,1,1,0,0,0
20120326,Android 2.2,1,140,1,359,128,0,0,0
20120326,Android 2.1,0,45,0,110,45,0,0,0
20120326,Android 4.0.3 - 4.0.4,0,45,0,70,43,0,0,0
20120326,Android 4.0 - 4.0.2,0,26,0,38,23,0,0,0
20120326,Android 3.2,0,16,0,23,14,0,0,0
20120326,Android 3.1,0,6,0,11,4,0,0,0
20120326,Android 3.0,0,1,0,2,1,0,0,0
20120326,Android 2.3.3+,6,648,3,1208,634,3,2,0
20120326,0,2,139,1,220,129,2,1,0
20120325,Android 2.3,0,2,0,1,1,0,0,0
20120325,Android 2.2,0,140,0,357,127,0,0,0
20120325,Android 2.1,0,45,0,110,45,0,0,0
20120325,Android 4.0.3 - 4.0.4,2,45,0,69,43,0,0,0
20120325,Android 4.0 - 4.0.2,0,26,0,38,23,0,0,0
20120325,Android 3.2,0,16,0,23,14,0,0,0
20120325,Android 3.1,0,6,0,11,4,0,0,0
20120325,Android 3.0,0,1,0,2,1,0,0,0
20120325,Android 2.3.3+,1,644,1,1206,630,7,6,0
20120325,0,2,139,1,219,129,1,1,1
20120324,Android 2.3,0,2,0,1,1,0,0,0
20120324,Android 2.2,1,140,1,357,127,0,0,0
20120324,Android 2.1,0,45,0,110,45,0,0,0
20120324,Android 4.0.3 - 4.0.4,1,42,0,67,40,0,0,0
20120324,Android 4.0 - 4.0.2,0,26,0,38,23,0,0,0
